Rank,Name,image,Ratings,Price
55,"Blooming Floret Artificial Monstera Plant with Black Pot for Home, Office Decor | 18 Medium Size Leaves Plant with Pot",https://m.media-amazon.com/images/I/61xDV5GynTL._AC_UL320_.jpg,3.4,"48,000"
56,"Asian Paints Wall-Ons Scootaway Wall Sticker (PVC Vinyl, 0.01 cm X 76.2 cm X 30.48 cm) (AS05M)",https://m.media-amazon.com/images/I/61+Bu1bffKL._AC_UL320_.jpg,3.9,4865
57,SAF 7 Horses River Large Framed UV Coated Digital Reprint 14 Inch X 20 Inch Painting (SANFH11) SANFH11(multicolor1),https://m.media-amazon.com/images/I/71fbiLXHlpL._AC_UL320_.jpg,3.9,"48,999"
58,"Ajanta Quartz Plastic Abstract Rectangle Digital Alarm Wall Clock (Black and Brown, 29 cm X 19 cm X 2.5 cm, ODC 130)",https://m.media-amazon.com/images/I/311aGYbrKEL._AC_UL320_.jpg,3.7,"48,025"
59,"Generic PnF Durga Maa Religious Wood Photo Frames with Acrylic Sheet (Glass) for Worship/Pooja(photoframe,Multicolour,8X6i...",https://m.media-amazon.com/images/I/61DbiSMreIL._AC_UL320_.jpg,4.2,4899
60,Pauwer 12 Pack (43.2 FT) Artificial Wisteria Vine Ratta Fake Wisteria Hanging Garland Silk Long Hanging Bush Flowers Strin...,https://m.media-amazon.com/images/I/71I7VfA-ZqL._AC_UL320_.jpg,4,4899
61,"HOLD UP Led Vanity Lights for Mirror, Hollywood Style LED Vanity Mirror Lights Kit 10 Dimmable Light Bulbs 3 Color Modes, ...",https://m.media-amazon.com/images/I/61rISB71KkL._AC_UL320_.jpg,4.2,"48,499"
62,Urban Hamlet Iron Decorative Mirror Wall Mounted Hanging Mirror Sculpture Metal Golden Rose Design Modern Art Mirror for H...,https://m.media-amazon.com/images/I/91fMhIhHQbL._AC_UL320_.jpg,4.2,"48,999"
63,Shubhkart Nirmal 5 in 1 Agarbatti Zipper Pack 150grams - 9 Inch Long Sticks (Pack of 2)?22.86cm Long Sticks (Combo of 2)|...,https://m.media-amazon.com/images/I/61gFKyQgpVL._AC_UL320_.jpg,5,4840
64,"Painting Mantra Art Street Boulevard Photo Frame Set of 11 Picture Frames for Wall Hanging (8X10-3 pcs, 6X8-8 pcs)-Black a...",https://m.media-amazon.com/images/I/71LuwKCsyUL._AC_UL320_.jpg,4.2,"48,399"
65,"Golden bird 7.5 Inch Tall Glass Flower Vases, Bulk Plant Vases,1 Pack Modern Flower Vases for Home Dcor, Modern Decorativ...",https://m.media-amazon.com/images/I/81AeA9YuMEL._AC_UL320_.jpg,4.4,4899
66,Art Street A4 Document Photo Frame set of 2 Black Photo Frames for Home and Office decoration (Photo Size 8 X 12 Inches),https://m.media-amazon.com/images/I/71iO9dnGfdL._AC_UL320_.jpg,3.9,4899
67,Vintage Clock Iron Hand-Crafted Large Brass Colour Wall Clock (60 X 60 cm),https://m.media-amazon.com/images/I/71mdO-ohDmL._AC_UL320_.jpg,4.1,"480,596"
68,TIED RIBBONS Door Hanging Bandanwar Toran (101.6 cm X 10.1 cm) - Decoration Items for Home Dcor Bandanwar Toran for Main ...,https://m.media-amazon.com/images/I/815UPG7PRaL._AC_UL320_.jpg,4.2,4899
69,PRIMESKY Alarm Clock Brass Vintage Twin Bell Table Top Alarm Clock with Night Led Light Display Alarm Clock for Bedroom He...,https://m.media-amazon.com/images/I/61O9Dlh-Q6S._AC_UL320_.jpg,3.8,4899
