rank,name,ratings,actual_price
88,Helliot Cotton Mop Refill for Floor Cleaning 300gm (White) - Pack of 2,4.2,5000
89,20 PCS Magic Eraser Sponges for Cleaning Sichumaria Kitchen Cleaning Wipes(100 x 60 x 20 mm) Cleaner Non-Scratch Scrub Spo...,3.7,5099
90,Cultbuzz Multi-Functional Electric Cleaning Brush 5 in 1 Magic Power Scrubber Household Cleaning Tools Spin Scrubber with ...,5,"50,299"
91,Prestige Clean Home 42607 Twisting Mop (Blue),3.2,5045
92,Xelvix Toilet Paper Roll Holder Bathroom/Kitchen Self Adhesive Tissue Roll Holder Wall Mounted Towel Holder,4.4,5099
93,Plantex Bathroom Organizer - Stainless Steel Multipurpose Bathroom Shelf for Wall/Bathroom Accessories(Chrome-15 Inches),4,"50,899"
94,POXJEX Wall Rack Waterproof Kitchen Sticking Wall Screw Hook Hanger for Bathroom Self Corner Shelves Soap Box (Only Sticke...,3.7,5099
95,QOZWEID 2 in 1 Window Cleaning Tool Squeegee Window Cleaner with Bendable Head for Indoor Outdoor High Windows Cleaning,4.4,5099
96,MAPPERZ Silicon Toilet Brush with Slim Holder/ Flex Toilet Brush Anti-drip Set Toilet Bowl Cleaner Brush/ No-Slip Long Han...,3.2,5099
97,Novo Tool Kit Tool Kit for Home Use Tools Kit Spanner Set Socket Set Wrench Set Tools Set Hand Tools Bike Tool Kit Set Soc...,3.8,"50,499"
98,"Nasmodo 15 Litre Water can with tap, Portable Camping Picnic Hiking Driving Drinking Dispenser Barrel with Faucet for Trav...",4.3,"50,000"
99,"ALTON SHR20940 Dual Flow Health Faucet with SS-304 Grade 1.25 Meter Flexible Hose Pipe and Wall Hook (Chrome Finish), Poli...",4.2,"50,600"
100,"Solar Outdoor Lights 6 Pack, Wall Lights Solar Powered IP65 Waterproof, 100LED/3 Modes 2703. Lighting Angle Motion Sensor S...",4.4,"50,999"
101,"SKYTONE 24 in 1 Multi-function Plier Tools Made of Stainless Steel with 11 Screwdriver bits with Safety Hook, Bottle Opene...",5,"50,499"
102,GIRNES Door Bottom Sealing Strip Guard for Home | Door Stoppers | Door Seal | Sound-Proof Reduce Noise Energy Saving Weath...,3.8,5099
103,"HomeMate WiFi + BLE Smart Plug Socket 16A (Pack of 1), With Energy Monitoring, Type - M, Suitable for Heavy Duty appliance...",4.2,"50,990"
104,"Renva Flat Microfiber Magic Mop for Floor Cleaning,Home Hands Free Squeeze Mop 3603. for Floor, Slider Squeeze Mop, Stainle...",3.6,"50,199"
105,"ZURATO Plastic Self Adhesive No Drills Wall/Rail/Kitchen/Bathroom Strong Sticky Towel Hanger Hook (5 Hooks, 44 x 8cm | Mul...",4.1,5099
106,"WOTOFY Drill Brush Set of 3 with Deep Cleansing Scratch-Resistant Nylon Bristles - Drill Brush Attachment Kit for Shower, ...",4.4,5060
107,"Amazon Brand - Presto! Flat Spray Mop with Refill, Pack of 1",4.1,"50,899"
108,Istar Stainless Steel Folding Towel Rack/Towel Stand/Towel Hanger/Rack Shelf for Bathroom/Bathroom Accessories (24 Inch) (...,4.6,"50,999"
109,Dizgoy Bathroom Shelf Shower Shelf Adhesive Shower Caddy for Shampoo Holder Kitchen Rack Wall Holder Box Storage Basket wi...,4.5,5099
110,PRISHU 3603. Flexible Kitchen Tap Head Movable Sink Faucet 3603. Rotatable ABS Sprayer Removable Anti-Splash Adjustable Filt...,4.6,5099
111,"RBLISS CG Magic Silicone Dish Washing Gloves, Silicon Cleaning Gloves, Silicon Hand Gloves for Kitchen Dishwashing and Pet...",3.3,5099
112,"Gala No Dust Broom, Extra Large, 1 Piece (hard_floor, plastic, Blue)",4.1,5099
113,"AmazonBasics 73-Piece Magnetic Ratchet Wrench and Screwdriver Set, 8 x 4.6 x 1.3 inch",4.3,"50,800"
114,Taparia 1621-8 Steel (210mm) Combination Plier with Joint Cutter (Red and Black),4.2,5030
115,BALLOREX KS-T036 550W 30000 RPM Heavy Duty Professional Wood Trimmer/Router (6-6.35 mm) machine with 6-Pieces Different Sh...,3.7,"50,500"
